BON Tokyo Asakusa,"Sumida Ward, Tokyo",13 reviews,"PKR 32,756",Double Room with Extra Bed,"2 beds (1 double, 1 sofa bed)",8.5
IBIS Tokyo Shinjuku,"Shinjuku Ward, Tokyo","1,753 reviews","PKR 23,446",Standard Double Room - Non Smoking,1 double bed,8.2
Mercure Tokyo Ginza,"Chuo Ward, Tokyo",592 reviews,"PKR 20,841",Superior Queen Room - Non-Smoking,1 large double bed,8.4
ibis Styles Tokyo Bay,"Urayasu, Tokyo","4,068 reviews","PKR 19,538",Standard Twin Room with Shower Room,2 single beds,8.5
hotel MONday Haneda Airport,"Ota Ward, Tokyo","2,271 reviews","PKR 20,742",Double Room,1 double bed,8.6
Pullman Tokyo Tamachi,"Minato, Tokyo",461 reviews,"PKR 55,780",Deluxe King Room,1 extra-large double bed,8.9
Laffitte Tokyo WEST,"Suginami Ward, Tokyo",21 reviews,"PKR 27,078",Triple Room with View,"2 beds (1 single, 1 double)",8.7
the square hotel GINZA,"Chuo Ward, Tokyo","3,051 reviews","PKR 21,454",Room Selected at Check-In,Beds: 1 double or 2 singles,8.7
hotel MONday Premium TOYOSU,"Koto Ward, Tokyo","1,715 reviews","PKR 22,128",Standard Double Room,1 large double bed,8.3
nestay inn tokyo senju,"Adachi Ward, Tokyo",237 reviews,"PKR 11,006",Twin Room,2 single beds,8.3
Hotel Nihonbashi Saibo,"Chuo Ward, Tokyo",747 reviews,"PKR 15,330",Double Room with Small Double Bed - Non-Smoking,1 single bed,8.3
Hotel Wing International Ikebukuro,"Toshima, Tokyo",509 reviews,"PKR 19,508",Standard Double Room - Non-Smoking,1 double bed,8.3
MONday Apart Premium AKIHABARA,"Chiyoda, Tokyo",75 reviews,"PKR 41,927",Deluxe Twin Room,2 single beds,8.8
ICI HOTEL Asakusabashi,"Taito, Tokyo","1,472 reviews","PKR 13,976",Standard Double Room - Non-Smoking,1 double bed,9.1
MUSTARD HOTEL SHIMOKITAZAWA,"Setagaya, Tokyo",7 reviews,"PKR 42,295",Superior Double Room,1 double bed,8.6
